AIC BIC aBIC DIC
cuts_long_ml_r51 -999 -999 -999 -999
cuts_wide_bayes_r51 NA NA NA NA
cuts_long_bayes_r51 NA NA NA 118965.86
tso_wide_ml_r51 -999 -999 -999 -999
tso_wide_bayes_r51 NA NA NA NA
tso_long_bayes_r51 NA NA NA 106128.224
msst_wide_ml_r52 -999 -999 -999 -999
msst_long_ml_r52 126532.448 126646.128 126595.282 NA
msst_wide_bayes_r52 NA NA NA NA
msst_long_bayes_r52 NA NA NA 125054.606
cuts_wide_ml_r52 -999 -999 -999 -999
cuts_long_ml_r52 -999 -999 -999 -999
cuts_wide_bayes_r52 NA NA NA NA
cuts_long_bayes_r52 NA NA NA 118897.727
tso_wide_ml_r52 -999 -999 -999 -999
tso_wide_bayes_r52 NA NA NA NA
tso_long_bayes_r52 NA NA NA 105830.988
msst_wide_ml_r53 -999 -999 -999 -999
msst_long_ml_r53 126039.357 126153.036 126102.191 NA
